"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"30.01.2015 06:00";"20.3";"56";"0.9";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 07:00";"20.1";"56";"1.6";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 08:00";"22.6";"52";"2.0";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 09:00";"21.8";"52";"2.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 10:00";"21.5";"54";"3.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 11:00";"21.4";"53";"4.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 12:00";"21.1";"56";"6.7";"73";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 13:00";"20.7";"54";"6.5";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 14:00";"20.6";"54";"7.6";"72";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 15:00";"20.8";"54";"7.7";"70";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 16:00";"21.2";"53";"7.9";"70";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 17:00";"21.4";"52";"7.4";"72";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 18:00";"21.7";"52";"6.7";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 19:00";"21.7";"51";"7.0";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 20:00";"21.8";"51";"7.2";"73";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 21:00";"22.8";"50";"7.7";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 22:00";"23.4";"50";"8.7";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 23:00";"24.2";"48";"10.7";"60";"---";"---";"---";"---";"---";"---";"---";"---"
